Row ID,Approved,Reason,Mod Status,Source,Source-row,Timestamp,Entry Age (in days),What is the name of the hospital or clinic?,Final Address,Street address for dropoffs?,City,State?,"Write drop-off instructions below or paste a link to your organization's own page containing instructions. For written instructions, please include details such as curbside procedure, mailing address, email address, and/or phone number. Please note all information entered here will be made public.",Wants mail,What do you need?,Will you accept open boxes/bags?,Type of request:,Type of organization?,Lat,Lng,RDI,Action link for LGTM,Action link for Remove,Row
row_id,approved,reason,mod_status,source,source-row,timestamp,entry_age,name,address,orig_address,city,state,instructions,mail_me,accepting,open_box,request_type,org_type,lat,lng,rdi,lgtm_link,remove_link,row
3,x,,FM,,,3/19/2020 11:14:25,84,Swedish Ballard,"5300 Tallman Ave NW
Seattle, WA 98107","5300 Tallman Ave NW
Seattle, WA 98107",Seattle,WA,"Put in donations bin at registration desk or at medical treatment center.

coviddonations@swedish.org",,"N95s, Surgical Masks",Yes,,Hospital,47.6674625,-122.3795306,Commercial,https://findthemasks.com/api/exec?cmd=H2m1MhOHQR3PsWnm7oESbY00peRDgFN1GUcg7kedRTtHY3Pt4vZmNIaCL_CxaLWCZe_VyLg1OzARqDXKNhaDDad0aWH_KRmdC562GQ..,https://findthemasks.com/api/exec?cmd=hAtgVAzTThMxZL6rs4VszpLzWRAdaiXJFJ3hJJXI86NeRUuyy-33t6TpBizKV9064cR4HzDaQZf1dQt8wyd5Q4AGMDn3AIrSCb--GA..,3
7,x,,FM,,,3/19/2020 15:11:30,84,Franciscan Women's Health Associates - Burien,"16045 1st Ave S
Burien, WA 98148","16045 1st Ave S
Burien, WA 98148",Burien,WA,Bring up stairs to the Women's care desk or call and a staff member will come down to get them.,,"N95s, Surgical Masks",Yes,,Outpatient Clinic,47.4585642,-122.3339504,Commercial,https://findthemasks.com/api/exec?cmd=AfeWunE7ZKoTg9yjPaXpuf7xpJMQl_LKw_Jb7rJVyA-H2X1aAFE_NulR9oefNwMa9_TQPzAwfhtBeGfpBS7JnST2AhxY1WmKrgDGcQ..,https://findthemasks.com/api/exec?cmd=e-Qs136vbGPAOnlBDNe4lpUpiyB3A9sl0TrpLAo1dpL7R2IqL60qiomIZUuoEf4YipyRnIHqARaTnu1hp56OpsH3mi9Ksz4YyyJlLA..,7
8,x,,FM,,,3/19/2020 15:19:46,84,Moab Regional Hospital,"450 Williams Way
Moab, UT 84532","450 Williams Way
Moab, UT 84532",Moab,UT,TBD,,"N95s, Surgical Masks, Safety Goggles",Yes,,Hospital,38.5751558,-109.5597751,Commercial,https://findthemasks.com/api/exec?cmd=oNnGExfWXoeUBEX7xTo8sGJGLhji2OWzxBpPTKJneESXM9Zupcc64EIj0nukxlo-IYaT3G7ShBy-fevT6NpuA1t6bv52rrx4F8X4SQ..,https://findthemasks.com/api/exec?cmd=Fee34_7bGSyKcc6tkX656m9mM5mtylbG9owVxxjBzXDiUZXS1O7GSPf4N-1dkRkTaLjtZlwUc2OoXUv891vaxoNT2JVFVeJ1bnkAKw..,8
10,x,,FM,,,3/19/2020 15:52:02,84,Northern Nevada Medical Center,"2375 E. Prater Way
Sparks, NV 89431","2375 E. Prater Way
Sparks, NV 89431",Sparks,NV,"Mail to: Alexa Parker, Emergency Dept.- NNMC, 2375 E Prater Way, Sparks, NV, 89431",Y,"N95s, Surgical Masks, Disposable Booties, Safety Goggles, Gloves ",Yes,,Hospital,39.5411157,-119.6973597,Commercial,https://findthemasks.com/api/exec?cmd=M7II-ieiclFA3OfYHLfdj8WOIZWa_4CM4jTiyQiGHvRCXyBa3pIEIuwTtDx2aBTc10DrVofyEAvEozhIg_ijAcVwLg4SNVjhxGlBz9E.,https://findthemasks.com/api/exec?cmd=4dlc2YBabjz9t9hEvXcp3GvZJY7arYFnCYAG_PUbZob9pf7K15EXUIV0CaxfnvvOn4tKMCY1NeqdaD28tEN86vQXHREJe52JtlnnQL4.,10
11,x,,FM,,,3/19/2020 18:19:30,84,Jackson County Memorial Hospital,"1200 East Pecan St. 
Altus, OK 73521","1200 East Pecan St. 
Altus, OK 73521",Altus,OK,Call 580-379-5000 and ask for Mary Jencks,,"N95s, Surgical Masks, Face shields",No,,Hospital,34.6369701,-99.3171146,Commercial,https://findthemasks.com/api/exec?cmd=PQW_iJp4ZlYnNm9W7T94LzeAs4UaWCEzxgwA8ZljA6TLLQTF4lmu8MjrHVxQodTqtKhDQsgn1l_eLqHfcrmkUrdWr3QwCEpBeoK1gus.,https://findthemasks.com/api/exec?cmd=XgfMw8IFo1HyVyT8I1aBBJ2jGSnMvXwUwxc1Lh6qc4ET8Mww2KCGwGT7AImFHgStAlKJlRdTf5ZhLcwE-LQ4wiBUOPwj29_evp3kfUo.,11
13,x,,FM,,,3/20/2020 3:07:13,83,University Orthopaedics,"462 Grider Street
Buffalo, NY 14228","462 Grider Street
Buffalo, NY 14228",Buffalo,NY,"Drop off at Erie County Medical Center
Attn: Karen Taylor PA-C, UBortho #2",,"N95s, Surgical Masks, Gloves, Face Shields",Yes,,Outpatient Clinic,42.9266256,-78.831964,Commercial,https://findthemasks.com/api/exec?cmd=17yWDsOXwD_5Jhjjgo0M13JJxB6JOlXBE2ooMrXZ_sS3SYiXfZPbAG2SaFsOpw8526F13PI0DPi_yWw-WlnVBvlpTuHPwJAG-Vf8c1E.,https://findthemasks.com/api/exec?cmd=0eMcjSvJgrtcxLdkq11P6V8jP_Lc2Edz9zpshkLRolAION4TsrMUv1uIVDQgEOA5uhADS5FPMDHZBvFJjiZGjyk6fdvjJ7uddSfCEgo.,13
14,x,,FM,,,3/20/2020 3:19:46,83,Samaritan Pacific Communities Hospital,"930 SW Abbey St
Newport, OR 97365","930 SW Abbey St
Newport, OR 97365",Newport,OR,TBD,,"N95s, Surgical Masks, Disposable Booties, Safety Goggles, Gloves, Face Shields, Isopropyl Alcohol",Yes,,Hospital,44.6296823,-124.0590056,Commercial,https://findthemasks.com/api/exec?cmd=OrjVEhVoktfL7uIlra_lStJFwBy9JkN69GbQrrvDvCovtdeN2lnDtaYyp1-kI2-uldZC4yH4MetbPGcgP25gRjjgKxVIV9nnRef1LhI.,https://findthemasks.com/api/exec?cmd=HnfgBRQcIaabVFq-GZ0uwnjtPcp-AM4P3_J8_U0C9ZF1__T-3yzIsuj5oS1RBUOGw2eFRA-Qsu1OvYsMcU1gLGzF8T7wpN_WSt6jDGk.,14
15,x,,FM,,,3/20/2020 8:09:12,83,Beth Israel Deaconess Medical Center (BIDMC),"330 Brookline Ave 
Boston, MA 02215","330 Brookline Ave 
Boston, MA 02215",Boston,MA,Email smahone4@bidmc.harvard.edu with detailed information including the brand and the quantity of the items you wish to donate. Visit bilh.org/donations for more information.,,"N95s, Surgical Masks, Face Shields, Gowns, Safety Goggles, Disinfectant Wipes, Gloves, Hand Sanitizer,  (N95s, surgical/procedural masks, face shield masks, disposable gowns, goggles/eye protection, bleach wipes, non-bleach wipes, nitrile gloves, hand sanitizer)",Yes,,Hospital,42.3398798,-71.1045583,Commercial,https://findthemasks.com/api/exec?cmd=xH6rTsMPZhUkwElRdSjbI9gvyhMuryQtbhs-hNN60NWsQuau68TU44mcFKffCcnq4zwTQI0LJpb8GbbUy3PrUFng3n6ULDHxdnvc6bg.,https://findthemasks.com/api/exec?cmd=ldmXFVpYdjAH8y98hzOdGiHSnmEc3KTnafaPU3gVJQQT83e1WuB4b-NTU57LXf-1USTWjMMc3bfMkUZFr5NotulW9odHte72c9qZja4.,15
17,x,,FM,,,3/20/2020 8:57:57,83,Swedish Edmonds,"21601 76th Ave W
Edmonds, WA 98026","21601 76th Ave W
Edmonds, WA 98026",Edmonds,WA,"First Floor Main Entrance off of Highway 99

coviddonations@swedish.org",,"N95s, Surgical Masks, Safety Goggles, Gloves, Face Shields",Yes,,Hospital,47.8033141,-122.3344445,Commercial,https://findthemasks.com/api/exec?cmd=sHPtg6N2kscoyFAIg3n-0WIyXNWmRpIamKw0V82cZI6S7YSnaKSg7rMAmeimv3rrC_d8EIrElgYXJiSMhS-pIZGcuoP5Bbgta4aPfqM.,https://findthemasks.com/api/exec?cmd=7hKxcD3-sipwsobGZfhVqlbUZJOmBwxCpigG4AopPcWHUKvZzlraIy0kkmsS5F8QrE_q9Jx6QwHcVkcP36bDAD6csrMrFQvESVBXRYc.,17
18,x,,FM,,,3/20/2020 9:27:45,83,Ascension Seton Williamson Medical Center,"201 Seton Parkway
Round Rock, TX 78665","201 Seton Parkway
Round Rock, TX 78665",Round Rock,TX,Please leave outside the main entrance and tell security to deliver to the ER,,"N95s, Surgical Masks, Disposable Booties, Safety Goggles, Gloves, Face Shields",Yes,,Emergency Medical Services,30.5670699,-97.6512507,Commercial,https://findthemasks.com/api/exec?cmd=6WlTeB8mZhYJ58I2YACEmmAKRec6DbuPbsqcfxIHPw0PmiMrr4_AaBoG7gfXI-1tgFA5bVxq3bDXpYbJT2Glw96eKF5_wqz0_hk5uPs.,https://findthemasks.com/api/exec?cmd=Tbj4DwLDQQm8pl3rFy8AlNu6g2fs7ERuYjEcrQdx_b_wn_zbDXZ7dwQos79fTG_LdGlwv2U5-iMpwxGeDB0RDxYN_caF0Wn8670uebo.,18
